"","id","group","year","wasi_vci"
"M17.Music.Y7","M17","Music","Y7",94
"S01.Sport.Y7","S01","Sport","Y7",97
"S04.Sport.Y7","S04","Sport","Y7",96
"S07.Sport.Y7","S07","Sport","Y7",88
"S08.Sport.Y7","S08","Sport","Y7",104
"S17.Sport.Y7","S17","Sport","Y7",93
"S28.Sport.Y7","S28","Sport","Y7",91
"S31.Sport.Y7","S31","Sport","Y7",102
"C02.Control.Y7","C02","Control","Y7",95
"C03.Control.Y7","C03","Control","Y7",77
"C04.Control.Y7","C04","Control","Y7",93
"C07.Control.Y7","C07","Control","Y7",89
"C08.Control.Y7","C08","Control","Y7",83
"C17.Control.Y7","C17","Control","Y7",91
"C19.Control.Y7","C19","Control","Y7",77
"M01.Music.Y7","M01","Music","Y7",NA
"M03.Music.Y7","M03","Music","Y7",NA
"M11.Music.Y7","M11","Music","Y7",NA
"M15.Music.Y7","M15","Music","Y7",NA
"S05.Sport.Y7","S05","Sport","Y7",NA
"S10.Sport.Y7","S10","Sport","Y7",NA
"S14.Sport.Y7","S14","Sport","Y7",NA
"S22.Sport.Y7","S22","Sport","Y7",NA
"C01.Control.Y7","C01","Control","Y7",NA
"C05.Control.Y7","C05","Control","Y7",NA
"C06.Control.Y7","C06","Control","Y7",NA
"C11.Control.Y7","C11","Control","Y7",NA
"C12.Control.Y7","C12","Control","Y7",NA
"C18.Control.Y7","C18","Control","Y7",NA
"M08.Music.Y7","M08","Music","Y7",NA
"C10.Control.Y7","C10","Control","Y7",NA
"C16.Control.Y7","C16","Control","Y7",NA
"S15.Sport.Y7","S15","Sport","Y7",NA
"S21.Sport.Y7","S21","Sport","Y7",NA
"C09.Control.Y7","C09","Control","Y7",NA
"S02.Sport.Y7","S02","Sport","Y7",NA
"S32.Sport.Y7","S32","Sport","Y7",NA
